adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm0_code,adm0_pcod3
Chad,Kanem,Kanem,12915,TCD006,50,TCD
Chad,Logone Oriental,Logone Oriental,12918,TCD009,50,TCD
Chad,Mayo Kebbi Est,Mayo Kebbi Est,12921,TCD011,50,TCD
Chad,Mayo-Kebbi Ouest,Mayo-Kebbi Ouest,12922,TCD012,50,TCD
Chad,Moyen-Chari,Moyen-Chari,12923,TCD013,50,TCD
Chad,Mandoul,Mandoul,12925,TCD010,50,TCD
Chad,Ouaddai,Ouaddai,12926,TCD014,50,TCD
Chad,Sila,Sila,12927,TCD021,50,TCD
Chad,Tandjile,Tandjile,12930,TCD016,50,TCD
Burkina Faso,Boucle du Mouhoun,Boucle du Mouhoun,40276,BFA046,42,BFA
Burkina Faso,Cascades,Cascades,40277,BFA047,42,BFA
Burkina Faso,Centre,Centre,40278,BFA013,42,BFA
Burkina Faso,Centre-Est,Centre-Est,40279,BFA048,42,BFA
Burkina Faso,Centre-Nord,Centre-Nord,40280,BFA049,42,BFA
Burkina Faso,Centre-Ouest,Centre-Ouest,40281,BFA050,42,BFA
Burkina Faso,Centre-Sud,Centre-Sud,40282,BFA051,42,BFA
Burkina Faso,Est,Est,40283,BFA052,42,BFA
Burkina Faso,Hauts-Bassins,Hauts-Bassins,40284,BFA053,42,BFA
Burkina Faso,Nord,Nord,40285,BFA054,42,BFA
Burkina Faso,Plateau Central,Plateau Central,40286,BFA055,42,BFA
Burkina Faso,Sahel,Sahel,40287,BFA056,42,BFA
Burkina Faso,Sud-Ouest,Sud-Ouest,40288,BFA057,42,BFA
Guinea,Boke,Boke,40700,GIN001,106,GIN
Guinea,Conakry,Conakry,40701,GIN002,106,GIN
Guinea,Faranah,Faranah,40702,GIN003,106,GIN
Guinea,Kankan,Kankan,40703,GIN004,106,GIN
Guinea,Kindia,Kindia,40704,GIN005,106,GIN
Guinea,Labe,Labe,40705,GIN006,106,GIN
Guinea,Mamou,Mamou,40706,GIN007,106,GIN
Guinea,Nzerekore,Nzerekore,40707,GIN008,106,GIN
Senegal,Diourbel,Diourbel,47585,SEN002,217,SEN
Senegal,Fatick,Fatick,47586,SEN003,217,SEN
Senegal,Louga,Louga,47587,SEN008,217,SEN
Senegal,Matam,Matam,47588,SEN009,217,SEN
Senegal,Saint Louis,Saint Louis,47589,SEN010,217,SEN
Nigeria,Abia,Abia,65698,NGA001,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,182,NGA
Nigeria,Bayelsa,Bayelsa,65700,NGA006,182,NGA
Nigeria,Ebonyi,Ebonyi,65701,NGA011,182,NGA
Nigeria,Ekiti,Ekiti,65702,NGA013,182,NGA
Nigeria,Enugu,Enugu,65703,NGA014,182,NGA
Nigeria,Gombe,Gombe,65704,NGA016,182,NGA
Nigeria,Nasarawa,Nasarawa,65705,NGA026,182,NGA
Nigeria,Ondo,Ondo,65706,NGA029,182,NGA
Nigeria,Plateau,Plateau,65707,NGA032,182,NGA
Nigeria,Rivers,Rivers,65708,NGA033,182,NGA
Nigeria,Sokoto,Sokoto,65709,NGA034,182,NGA
Nigeria,Zamfara,Zamfara,65710,NGA037,182,NGA
Central African Republic,Bangui,Bangui,67154,CAF071,NA,NA
Gambia,Kanifing,Kanifing,112869,GMB005,90,GMB
Gambia,Banjul,Banjul,112870,GMB001,90,GMB
