adm0_name,adm0_code,adm0_pcod3,adm0_pcod2,adm1_name,adm1_code,adm1_pcod3,adm1_pcod2,adm2_name,adm2_code,adm2_pcod3,adm2_pcod2
Niger,181,NER,NE,Agadez,2202,NER001,NE01,Iferouane,22551,NER001004,NE0104
Niger,181,NER,NE,Agadez,2202,NER001,NE01,Bilma,22552,NER001003,NE0103
Niger,181,NER,NE,Agadez,2202,NER001,NE01,Ingall,123655,NER001005,NE0105
Niger,181,NER,NE,Dosso,2204,NER003,NE03,Dogondoutchi,123661,NER003003,NE0303
Niger,181,NER,NE,Agadez,2202,NER001,NE01,Agadez Com,NA,NA,NA
Niger,181,NER,NE,Dosso,2204,NER003,NE03,Boboye,123646,NER003001,NE0301
Niger,181,NER,NE,Dosso,2204,NER003,NE03,Loga,22561,NER003007,NE0307
Niger,181,NER,NE,Dosso,2204,NER003,NE03,Gaya,22560,NER003006,NE0306
Niger,181,NER,NE,Dosso,2204,NER003,NE03,Dioundiou,123647,NER003002,NE0302
Niger,181,NER,NE,Dosso,2204,NER003,NE03,Dosso,22559,NER003004,NE0304
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Abala,123644,NER006001,NE0601
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Ayerou,123642,NER006002,NE0602
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Balleyara,22578,NER006003,NE0603
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Banibangou,123645,NER006004,NE0604
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Kollo,22579,NER006008,NE0608
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Ouallam,22580,NER006009,NE0609
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Say,123648,NER006010,NE0610
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Central,NA,NA,NA
Niger,181,NER,NE,Tillaberi,2208,NER006,NE06,Torodi,22581,NER006013,NE0613
Nigeria,182,NGA,NG,Bauchi,65699,NGA005,NG05,Central,NA,NA,NA
Niger,181,NER,NE,Diffa,2203,NER002,NE02,Goudoumaria,22555,NER002003,NE0203
Niger,181,NER,NE,Diffa,2203,NER002,NE02,Bosso,123658,NER002001,NE0201
Niger,181,NER,NE,Diffa,2203,NER002,NE02,Diffa,22554,NER002002,NE0202
Niger,181,NER,NE,Diffa,2203,NER002,NE02,N'gourti,22556,NER002005,NE0205
Niger,181,NER,NE,Diffa,2203,NER002,NE02,N'guigmi,123657,NER002006,NE0206
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Abalak,123651,NER005001,NE0501
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Bagaroua,22573,NER005002,NE0502
Niger,181,NER,NE,Tahoua,2207,NER005,NE05,Birni N'konni,22571,NER005003,NE0503
