adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm2_name,adm2_namechanged,adm2_code,adm2_pcod3,adm0_code,adm0_pcod3
Niger,Dosso,Dosso,NA,NER003,Dosso,Dosso,22559,NER003004,181,NER
Niger,Dosso,Dosso,NA,NER003,Gaya,Gaya,22560,NER003006,181,NER
Niger,Dosso,Dosso,NA,NER003,Loga,Loga,22561,NER003007,181,NER
Niger,Maradi,Maradi,NA,NER004,Aguie,Aguie,22562,NER004001,181,NER
Niger,Maradi,Maradi,NA,NER004,Dakoro,Dakoro,22563,NER004003,181,NER
Niger,Maradi,Maradi,NA,NER004,Guidan Roumji,Guidan Roumji,22564,NER004005,181,NER
Niger,Maradi,Maradi,NA,NER004,Madarounfa,Madarounfa,22565,NER004006,181,NER
Niger,Maradi,Maradi,NA,NER004,Mayahi,Mayahi,22566,NER004008,181,NER
Niger,Maradi,Maradi,NA,NER004,Tessaoua,Tessaoua,22567,NER004009,181,NER
Niger,Niamey,Niamey,NA,NER008,Ville de Niamey,Ville de Niamey,22568,NER008001,181,NER
Niger,Tahoua,Tahoua,NA,NER005,Ville de Tahoua,Ville de Tahoua,22569,NER005013,181,NER
Niger,Zinder,Zinder,NA,NER007,Ville de Zinder,Ville de Zinder,22569,NER007011,181,NER
Niger,Tahoua,Tahoua,NA,NER005,Birni N'Konni,Birni N'Konni,22571,NER005003,181,NER
Niger,Tahoua,Tahoua,NA,NER005,Bouza,Bouza,22572,NER005004,181,NER
Niger,Tahoua,Tahoua,NA,NER005,Bagaroua,Bagaroua,22573,NER005002,181,NER
Niger,Tahoua,Tahoua,NA,NER005,Keita,Keita,22574,NER005006,181,NER
Niger,Tahoua,Tahoua,NA,NER005,Madaoua,Madaoua,22575,NER005007,181,NER
Niger,Tahoua,Tahoua,NA,NER005,Tahoua,Tahoua,22576,NER005009,181,NER
Niger,Tahoua,Tahoua,NA,NER005,Tillia,Tillia,22577,NER005012,181,NER
Niger,Tillaberi,Tillaberi,NA,NER006,Balleyara,Balleyara,22578,NER006003,181,NER
Niger,Tillaberi,Tillaberi,NA,NER006,Kollo,Kollo,22579,NER006008,181,NER
Niger,Tillaberi,Tillaberi,NA,NER006,Ouallam,Ouallam,22580,NER006009,181,NER
Niger,Tillaberi,Tillaberi,NA,NER006,Torodi,Torodi,22581,NER006013,181,NER
Niger,Tillaberi,Tillaberi,NA,NER006,Gotheye,Gotheye,22582,NER006007,181,NER
Niger,Tillaberi,Tillaberi,NA,NER006,Tillaberi,Tillaberi,22583,NER006012,181,NER
Niger,Zinder,Zinder,NA,NER007,Tasker,Tasker,22584,NER007010,181,NER
