country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,Borno,MMC,805422,2,426873.66,257735.04,120813.3,0,0,120813.3,outofcamp
Nigeria,Borno,Jere,586967,2,328701.52,181959.77,76305.71,0,0,76305.71,outofcamp
Nigeria,Borno,Konduga,147202,2,57408.78,64768.88,25024.34,0,0,25024.34,outofcamp
Nigeria,Borno,Dikwa,56841,3,14210.25,22736.4,14210.25,5684.1,0,19894.35,outofcamp
Nigeria,Borno,Mafa,117733,3,41206.55,29433.25,35319.9,11773.3,0,47093.2,outofcamp
Nigeria,Borno,Kalabalge,116985,3,25736.7,46794,35095.5,9358.8,0,44454.3,outofcamp
Nigeria,Borno,Ngala,75486,2,25665.24,41517.3,8303.46,0,0,8303.46,outofcamp
Nigeria,Borno,Biu,326333,2,199063.13,94636.57,32633.3,0,0,32633.3,outofcamp
Nigeria,Borno,Bayo,167823,2,117476.1,41955.75,8391.15,0,0,8391.15,outofcamp
Nigeria,Borno,Hawul,252553,1,209618.99,30306.36,12627.65,0,0,12627.65,outofcamp
Nigeria,Borno,Chibok,131734,2,59280.3,55328.28,17125.42,0,0,17125.42,outofcamp
Nigeria,Borno,Damboa,134448,3,13444.8,33612,73946.4,13444.8,0,87391.2,outofcamp
Nigeria,Borno,Gwoza,226027,3,51986.21,85890.26,79109.45,9041.08,0,88150.53,outofcamp
Nigeria,Borno,Kwaya Kusar,135655,1,115306.75,20348.25,0,0,0,0,outofcamp
Nigeria,Borno,Shani,230119,2,126565.45,80541.65,23011.9,0,0,23011.9,outofcamp
Nigeria,Borno,Askira Uba,275171,2,71544.46,159599.18,44027.36,0,0,44027.36,outofcamp
Nigeria,Borno,Abadam,0,0,0,0,0,0,0,0,outofcamp
Nigeria,Borno,Marte,0,0,0,0,0,0,0,0,outofcamp
Nigeria,FCT,AMAC,1415354,1,1259665.06,141535.4,14153.54,0,0,14153.54,outofcamp
Nigeria,FCT,BWARI,673794,1,599676.66,67379.4,6737.94,0,0,6737.94,outofcamp
Nigeria,FCT,GWAGWALADA,674471,1,586789.77,80936.52,6744.71,0,0,6744.71,outofcamp
Nigeria,FCT,KUJE,589998,1,513298.26,70799.76,5899.98,0,0,5899.98,outofcamp
Nigeria,FCT,ABAJI,494902,1,430564.74,54439.22,9898.04,0,0,9898.04,outofcamp
Nigeria,FCT,KWALI,498135,1,433377.45,54794.85,9962.7,0,0,9962.7,outofcamp
Nigeria,Jigawa,AUYO,193085,1,171845.65,19308.5,1930.85,0,0,1930.85,outofcamp
Nigeria,Jigawa,BIRNIWA,207314,1,184509.46,20731.4,2073.14,0,0,2073.14,outofcamp
Nigeria,Jigawa,GURI,165487,1,147283.43,16548.7,1654.87,0,0,1654.87,outofcamp
Nigeria,Jigawa,HADEJIA,152237,1,135490.93,15223.7,1522.37,0,0,1522.37,outofcamp
Nigeria,Jigawa,K/HAUSA,390181,1,347261.09,39018.1,3901.81,0,0,3901.81,outofcamp
Nigeria,Jigawa,KAUGAMA,188287,1,167575.43,18828.7,1882.87,0,0,1882.87,outofcamp
Nigeria,Jigawa,K/KASAMMA,281133,1,250208.37,28113.3,2811.33,0,0,2811.33,outofcamp
Nigeria,Jigawa,M/MADORI,240562,1,214100.18,24056.2,2405.62,0,0,2405.62,outofcamp
Nigeria,Jigawa,B/KUDU,458535,1,412681.5,41268.15,4585.35,0,0,4585.35,outofcamp
Nigeria,Jigawa,BUJI,142015,1,126393.35,12781.35,1420.15,0,0,1420.15,outofcamp
Nigeria,Jigawa,DUTSE,366607,1,329946.3,32994.63,3666.07,0,0,3666.07,outofcamp
Nigeria,Jigawa,JAHUN,335582,1,302023.8,30202.38,3355.82,0,0,3355.82,outofcamp
Nigeria,Jigawa,KIYAWA,252475,1,227227.5,22722.75,2524.75,0,0,2524.75,outofcamp
Nigeria,Jigawa,GWARAM,396143,1,356528.7,35652.87,3961.43,0,0,3961.43,outofcamp
Nigeria,Jigawa,MIGA,186673,1,168005.7,16800.57,1866.73,0,0,1866.73,outofcamp
Nigeria,Jigawa,BABURA,310872,1,276676.08,27978.48,6217.44,0,0,6217.44,outofcamp
Nigeria,Jigawa,GAGARAWA,119927,1,106735.03,10793.43,2398.54,0,0,2398.54,outofcamp
Nigeria,Jigawa,GARKI,219351,1,195222.39,19741.59,4387.02,0,,4387.02,outofcamp
Nigeria,Jigawa,GUMEL,155280,1,138199.2,13975.2,3105.6,0,,3105.6,outofcamp
Nigeria,Jigawa,GWIWA,187920,1,167248.8,16912.8,3758.4,0,,3758.4,outofcamp
Nigeria,Jigawa,KAZAURE,235262,1,209383.18,21173.58,4705.24,0,,4705.24,outofcamp
Nigeria,Jigawa,MAIGATARI,258468,1,230036.52,23262.12,5169.36,0,,5169.36,outofcamp
Nigeria,Jigawa,RINGIM,280876,1,249979.64,25278.84,5617.52,0,,5617.52,outofcamp
Nigeria,Jigawa,RONI,113009,1,100578.01,10170.81,2260.18,0,,2260.18,outofcamp
Nigeria,Jigawa,SULE TANKARKAR,196800,1,175152,17712,3936,0,,3936,outofcamp
Nigeria,Jigawa,TAURA,192491,1,171316.99,17324.19,3849.82,0,,3849.82,outofcamp
Nigeria,Jigawa,YANKWASHI,139620,1,124261.8,12565.8,2792.4,0,,2792.4,outofcamp
