country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,Kebbi,DANKO/WASAGU,400556,1,328455.92,64088.96,8011.12,0,0,8011.12,outofcamp
Nigeria,Bauchi,Misau,406936,1,333687.52,65109.76,8138.72,0,0,8138.72,outofcamp
Nigeria,Benue,ADO,272339,1,220594.59,43574.24,8170.17,0,0,8170.17,outofcamp
Nigeria,Benue,OKPOKWU,259352,1,210075.12,43574.24,8170.17,0,0,8170.17,outofcamp
Nigeria,Zamfara,Sinkafi,205086,1,164068.8,32813.76,8203.44,0,0,8203.44,outofcamp
Nigeria,Plateau,Pankshin,273943,1,235590.98,30133.73,8218.29,0,0,8218.29,outofcamp
Nigeria,Kaduna,Kajuru,164961,2,123720.75,32992.2,8248.05,0,0,8248.05,outofcamp
Nigeria,Katsina,Batsari,280600,1,227286,44896,8418,0,0,8418,outofcamp
Nigeria,Jigawa,RINGIM,280876,1,235935.84,36513.88,8426.28,0,0,8426.28,outofcamp
Nigeria,Kaduna,Kubau,421686,1,341565.66,71686.62,8433.72,0,0,8433.72,outofcamp
Nigeria,Niger,Rafi,284094,1,230116.14,45455.04,8522.82,0,0,8522.82,outofcamp
Nigeria,Plateau,Q/Pan,284265,1,230254.65,45482.4,8527.95,0,0,8527.95,outofcamp
Nigeria,Benue,GBOKO,533670,1,439744.08,85387.2,8538.72,0,0,8538.72,outofcamp
Nigeria,Bauchi,Ganjuwa,433162,1,355192.84,69305.92,8663.24,0,0,8663.24,outofcamp
Nigeria,Kaduna,Soba,437412,1,354303.72,74360.04,8748.24,0,0,8748.24,outofcamp
Nigeria,Kaduna,Sabon Gari,437692,1,354530.52,74407.64,8753.84,0,0,8753.84,outofcamp
Nigeria,Kano,KIBIYA ,220266,1,182820.78,28634.58,8810.64,0,0,8810.64,outofcamp
Nigeria,Gombe,Kwami,294126,1,241183.32,44118.9,8823.78,0,0,8823.78,outofcamp
Nigeria,Kano,SHANONO ,221077,1,183493.91,28740.01,8843.08,0,0,8843.08,outofcamp
Nigeria,Plateau,Shendam,295566,1,239408.46,47290.56,8866.98,0,0,8866.98,outofcamp
Nigeria,Bauchi,Zaki,295691,2,227682.07,59138.2,8870.73,0,0,8870.73,outofcamp
Nigeria,Kaduna,Sanga,227565,1,184327.65,34134.75,9102.6,0,0,9102.6,outofcamp
Nigeria,Kano,KARAYE ,228890,1,189978.7,29755.7,9155.6,0,0,9155.6,outofcamp
Nigeria,Jigawa,B/KUDU,458535,1,394340.1,55024.2,9170.7,0,0,9170.7,outofcamp
Nigeria,Jigawa,BABURA,310872,1,261132.48,40413.36,9326.16,0,0,9326.16,outofcamp
Nigeria,Gombe,Dukku,312036,1,255869.52,46805.4,9361.08,0,0,9361.08,outofcamp
Nigeria,Kaduna,Jaba,234307,1,189788.67,35146.05,9372.28,0,0,9372.28,outofcamp
Nigeria,Kano,G/MALLAM ,188492.8669,1,152679.2222,26389.00136,9424.643344,0,0,9424.643344,outofcamp
Nigeria,Plateau,Riyom,189885,1,155705.7,24685.05,9494.25,0,0,9494.25,outofcamp
Nigeria,Niger,Chanchaga,316813,1,256618.53,50690.08,9504.39,0,0,9504.39,outofcamp
Nigeria,Kano,DOGUWA ,239378,1,198683.74,31119.14,9575.12,0,0,9575.12,outofcamp
Nigeria,Kano,KABO ,243371,1,201997.93,31638.23,9734.84,0,0,9734.84,outofcamp
Nigeria,FCT,ABAJI,494902,1,420666.7,64337.26,9898.04,0,0,9898.04,outofcamp
Nigeria,FCT,KWALI,498135,1,423414.75,64757.55,9962.7,0,0,9962.7,outofcamp
Nigeria,Niger,Suleja,332199,1,269081.19,53151.84,9965.97,0,0,9965.97,outofcamp
Nigeria,Kano,TSANYAWA ,250636,1,208027.88,32582.68,10025.44,0,0,10025.44,outofcamp
Nigeria,Kano,RANO ,235613,1,195558.79,30629.69,10025.44,0,0,10025.44,outofcamp
Nigeria,Kaduna,Lere,510373,1,413402.13,86763.41,10207.46,0,0,10207.46,outofcamp
Nigeria,Kano,BAGWAI ,256679,1,213043.57,33368.27,10267.16,0,0,10267.16,outofcamp
Nigeria,Kano,GARKO ,257367,1,213614.61,33457.71,10294.68,0,0,10294.68,outofcamp
Nigeria,Kano,WARAWA ,209525.1508,1,169715.3722,29333.52111,10476.25754,0,0,10476.25754,outofcamp
Nigeria,Kaduna,Kaura,262329,1,212486.49,39349.35,10493.16,0,0,10493.16,outofcamp
Nigeria,Bauchi,ItasGadau,355212,2,273513.24,71042.4,10656.36,0,0,10656.36,outofcamp
Nigeria,Gombe,Funakaye,355556,1,291555.92,53333.4,10666.68,0,0,10666.68,outofcamp
Nigeria,Zamfara,Birnin Magaji,270052,1,216041.6,43208.32,10802.08,0,0,10802.08,outofcamp
Nigeria,Bauchi,Shira,361417,2,278291.09,72283.4,10842.51,0,0,10842.51,outofcamp
Nigeria,Niger,Shiroro,364003,1,294842.43,58240.48,10920.09,0,0,10920.09,outofcamp
Nigeria,Kano,MADOBI ,218784.3771,1,177215.3454,30629.81279,10939.21885,0,0,10939.21885,outofcamp
Nigeria,Kano,AJINGI ,274280,1,227652.4,35656.4,10971.2,0,0,10971.2,outofcamp
Nigeria,Kano,BUNKURE ,277231,1,230101.73,36040.03,11089.24,0,0,11089.24,outofcamp
Nigeria,Kano,KURA ,227379.3925,1,184177.3079,31833.11494,11368.96962,0,0,11368.96962,outofcamp
Nigeria,Kano,GWARZO ,291782,1,242179.06,37931.66,11671.28,0,0,11671.28,outofcamp
